Price,Square Meters,Rooms,Bathrooms,Zona
1.850,90,2,2,Arganzuela
4.500,168,3,2,Centro
2.400,78,2,1,Centro
1.800,95,2,1,Moncloa - Aravaca
1.700,56,2,1,Chamartín
1.345,9,2,72,Vicálvaro
1.460,9,3,91,Vicálvaro
1.109,7,2,70,Vicálvaro
1.395,3,3,96,Vicálvaro
2.600,94,2,2,Retiro
2.200,80,2,2,Centro
1.700,52,1,1,Retiro
2.450,90,3,2,Moncloa - Aravaca
2.450,114,2,2,Retiro
3.050,153,2,3,Centro
1.350,57,1,1,Centro
2.300,117,3,2,Chamartín
1.200,32,1,1,Centro
1.350,85,3,2,Villa de Vallecas
3.450,90,2,2,Chamberí
3.325,95,2,2,Barrio de Salamanca
2.650,65,1,1,Chamberí
3.330,86,2,2,Centro
2.745,87,2,1,Tetuán
2.000,96,2,2,Barrio de Salamanca
1.600,52,1,1,Moncloa - Aravaca
1.025,55,3,1,Carabanchel
3.500,100,2,2,Centro
950,51,1,1,San Blas
2.600,130,3,2,Chamberí
1.400,73,3,1,Chamartín
2.200,40,1,1,Villaverde
2.950,94,3,2,Tetuán
3.925,137,4,4,Chamberí
3.000,115,1,2,Centro
3.410,110,2,2,Barrio de Salamanca
2.800,85,1,1,Centro
4.175,134,4,4,Chamberí
2.930,65,2,1,Chamberí
1.650,72,3,2,Arganzuela
2.790,110,3,1,Centro
2.500,64,1,1,Centro
2.780,65,1,1,Chamberí
2.640,50,1,1,Chamberí
1.750,60,3,1,Chamberí
1.500,60,2,1,Chamberí
3.900,180,3,2,Tetuán
2.200,65,2,3,Barrio de Salamanca
2.995,66,2,2,Chamberí
2.550,62,1,1,Barrio de Salamanca
,50,1,1,Centro
1.150,50,2,1,Arganzuela
4.200,168,3,2,Centro
2.400,125,4,2,Centro
3.295,60,1,1,Centro
2.685,98,3,2,Centro
2.350,151,3,2,Chamberí
3.200,86,2,2,Barrio de Salamanca
4.000,138,4,1,Centro
1.150,81,2,1,Usera
3.700,135,4,2,Centro
1.500,75,2,1,Tetuán
2.800,101,3,2,Barrio de Salamanca
1.600,55,2,1,Centro
1.400,106,2,2,Puente de Vallecas
2.000,80,2,2,Centro
3.600,165,6,4,Chamberí
1.800,70,1,2,Barrio de Salamanca
1.595,85,3,1,Hortaleza
1.300,50,1,1,Centro
1.600,100,3,2,San Blas
1.750,70,2,2,Tetuán
3.000,60,2,1,Barrio de Salamanca
1.680,69,2,1,Centro
1.900,160,3,2,Fuencarral - El Pardo
1.250,65,1,1,Arganzuela
2.250,65,1,1,Barrio de Salamanca
1.600,110,3,2,Hortaleza
3.800,220,6,4,Chamberí
2.200,100,2,1,Chamberí
1.250,65,1,1,Tetuán
3.000,120,4,3,Chamartín
1.300,68,2,1,Tetuán
1.950,84,2,2,Tetuán
1.250,55,1,1,Ciudad Lineal
2.000,140,3,2,Hortaleza
1.200,25,1,1,Fuencarral - El Pardo
1.290,54,2,1,Barrio de Salamanca
2.400,70,1,2,Barrio de Salamanca
2.200,130,3,2,Fuencarral - El Pardo
1.650,90,2,2,Chamartín
990,40,1,1,Carabanchel
1.300,60,1,1,Barrio de Salamanca
1.100,92,3,1,Latina
1.100,52,2,1,Centro
1.200,64,3,1,Barrio de Salamanca
650,1,1,21,Barrio de Salamanca
860,57,3,1,Villaverde
1.080,47,1,1,Chamberí
995,80,3,1,Latina
1.100,55,1,1,Arganzuela
1.150,45,2,1,Barrio de Salamanca
4.600,106,3,3,Barrio de Salamanca
1.300,75,3,1,Ciudad Lineal
1.200,67,1,1,Tetuán
13.500,196,3,3,Chamberí
1.700,55,1,1,Centro
1.350,110,3,2,Usera
2.300,42,1,1,Centro
2.500,86,1,2,Centro
850,40,1,1,Latina
1.490,103,3,1,Carabanchel
4.200,1,2,160,Chamberí
670,1,1,25,Puente de Vallecas
1.700,40,1,1,Centro
1.290,55,2,1,Tetuán
4.500,167,3,2,Centro
3.900,119,3,3,Chamberí
995,55,2,1,Latina
1.010,56,3,1,Villaverde
1.155,63,2,1,Tetuán
5.900,124,3,3,Barrio de Salamanca
2.120,40,1,1,Tetuán
2.350,51,1,1,Chamberí
2.800,60,1,2,Barrio de Salamanca
2.540,45,1,1,Chamberí
4.000,120,3,2,Chamartín
2.225,35,1,1,Chamberí
2.110,40,1,1,Tetuán
1.085,57,3,1,Blas
1.300,80,2,1,Centro
2.000,75,2,1,Barrio de Salamanca
2.000,60,1,1,Retiro
3.350,166,4,3,Retiro
1.750,60,1,1,Retiro
3.000,110,2,2,Barrio de Salamanca
3.800,135,4,3,Chamberí
8.500,286,4,5,Barrio de Salamanca
950,70,2,1,Ciudad Lineal
2.300,114,3,2,Barrio de Salamanca
1.150,45,1,1,Chamberí
1.200,80,2,2,San Blas
2.400,153,4,2,Hortaleza
890,44,2,1,Villaverde
3.150,105,2,2,Chamberí
3.150,105,2,2,Arganzuela
3.200,120,3,2,Centro
2.100,122,3,2,Barrio de Salamanca
1.600,45,1,1,Chamartín
2.825,62,1,1,Chamberí
3.805,133,2,2,Moncloa - Aravaca
2.725,70,1,1,Chamberí
2.200,95,2,2,Chamberí
2.550,136,2,2,Chamberí
3.635,165,3,3,Chamberí
2.490,80,2,1,Barrio de Salamanca
3.340,66,1,1,Chamberí
5.695,230,2,2,Barrio de Salamanca
3.500,104,2,2,Centro
1.100,40,2,1,Latina
1.050,54,1,1,Carabanchel
1.570,75,1,1,Centro
2.500,140,2,2,Centro
2.600,,1,50,Chamberí
2.945,100,2,2,Centro
3.290,110,2,2,Barrio de Salamanca
4.940,133,2,2,Barrio de Salamanca
1.750,60,3,1,Tetuán
3.260,90,1,1,Centro
3.990,140,2,2,Centro
3.030,84,1,1,Centro
3.840,115,3,3,Chamberí
2.345,77,2,1,Tetuán
2.020,42,1,1,Tetuán
5.100,200,4,3,Centro
1.500,109,4,2,Fuencarral - El Pardo
4.300,133,3,2,Barrio de Salamanca
6.500,285,4,4,Salamanca
2.775,53,1,1,Chamartín
2.975,74,2,2,Chamberí
3.100,102,2,2,Chamberí
3.140,113,3,2,Barrio de Salamanca
1.700,77,3,2,Arganzuela
4.100,100,2,2,Retiro
1.755,50,2,1,Chamberí
3.780,104,2,2,Chamberí
2.670,85,1,2,Centro
2.700,50,1,1,Centro
1.720,90,1,2,Centro
2.855,70,1,1,Centro
3.000,100,2,2,Tetuán
3.350,86,2,2,Chamberí
2.500,70,2,2,Centro
3.945,177,4,2,Barrio de Salamanca
2.500,75,2,3,Centro
4.370,120,3,2,Chamberí
2.525,66,1,1,Chamartín
1.850,75,2,1,Chamberí
750,25,1,1,Tetuán
1.400,49,1,1,Moncloa - Aravaca
3.500,120,2,2,Moncloa - Aravaca
1.240,87,2,1,Tetuán
3.200,90,2,2,Barrio de Salamanca
2.300,92,2,2,Moncloa - Aravaca
2.400,200,4,3,Retiro
1.100,100,1,2,Usera
1.950,94,2,2,Centro
1.800,118,3,2,Arganzuela
2.950,95,2,1,Centro
1.250,40,1,1,Usera
